Source,Target,Type,Id,Label,timeset,Weight,based_on_page
1225,1609,Undirected,569,,,2,XXV:109r
685,699,Undirected,571,,,2,XXV:208r
685,977,Undirected,572,,,1,XXV:207v
685,1501,Undirected,573,,,1,XXV:207v
699,977,Undirected,574,,,1,XXV:207v
699,1501,Undirected,575,,,1,XXV:207v
977,1501,Undirected,576,,,1,XXV:207v
501,590,Undirected,577,,,2,XXV:289r
501,1030,Undirected,578,,,2,XXV:289r
501,1514,Undirected,579,,,1,XXV:289v
501,1613,Undirected,580,,,2,XXV:289r
590,1030,Undirected,581,,,2,XXV:289r
590,1514,Undirected,582,,,1,XXV:289v
590,1613,Undirected,583,,,2,XXV:289r
1030,1514,Undirected,584,,,1,XXV:289v
1030,1613,Undirected,585,,,2,XXV:289r
1514,1613,Undirected,586,,,1,XXV:289v
1073,1164,Undirected,587,,,1,XXV:133v
1073,1658,Undirected,588,,,1,XXV:133v
1164,1658,Undirected,589,,,1,XXV:133v
62,847,Undirected,590,,,1,XXV:117r
62,1256,Undirected,591,,,5,XXV:115r
847,1256,Undirected,592,,,2,XXV:116v
1151,1445,Undirected,593,,,3,XXV:226v
63,376,Undirected,594,,,1,XXV:117v
63,783,Undirected,595,,,2,XXV:118r
63,1256,Undirected,596,,,2,XXV:118r
63,1554,Undirected,597,,,2,XXV:118r
63,1732,Undirected,598,,,1,XXV:117v
376,783,Undirected,599,,,1,XXV:117v
376,1256,Undirected,600,,,16,XXV:111v
376,1554,Undirected,601,,,1,XXV:117v
783,1256,Undirected,603,,,2,XXV:118r
783,1554,Undirected,604,,,2,XXV:118r
783,1732,Undirected,605,,,1,XXV:117v
1256,1554,Undirected,606,,,2,XXV:118r
1554,1732,Undirected,608,,,1,XXV:117v
276,343,Undirected,609,,,1,XXV:237r
276,759,Undirected,610,,,1,XXV:237r
343,759,Undirected,611,,,3,XXV:232r
343,1699,Undirected,612,,,1,XXV:237v
359,676,Undirected,613,,,1,XXV:197v
359,764,Undirected,614,,,1,XXV:197v
359,1317,Undirected,615,,,1,XXV:197v
676,764,Undirected,616,,,1,XXV:197v
676,1317,Undirected,617,,,1,XXV:197v
764,1317,Undirected,618,,,1,XXV:197v
7,9,Undirected,619,,,2,XXV:261v
7,130,Undirected,620,,,7,XXV:269r
7,545,Undirected,621,,,5,XXV:269r
7,1202,Undirected,622,,,3,XXV:277v
7,1438,Undirected,623,,,5,XXV:294r
7,1578,Undirected,624,,,4,XXV:253v
7,1654,Undirected,625,,,1,XXV:278r
9,130,Undirected,626,,,2,XXV:278v
9,545,Undirected,627,,,1,XXV:278r
